,web_browser,operating_sys,from_url,to_url,city,longitude,latitude,time_zone,time_in,time_out
0,Mozilla/5.0,Windows,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,42.576698,-70.954903,America/New_York,2012-04-01 19:03:50,2012-04-01 19:03:57
1,unidentified,unidentified,www.AwareMap.com,www.monroecounty.gov,Provo,40.218102,-111.613297,America/Denver,2012-03-16 18:40:49,2011-06-16 22:13:13
2,Mozilla/4.0,Windows,t.co,boxer.senate.gov,Washington,38.9007,-77.043098,America/New_York,2012-04-02 22:50:30,2012-04-02 22:50:35
3,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,Braz,-23.549999,-46.616699,America/Sao_Paulo,2012-04-04 02:37:10,2012-04-04 02:37:24
4,Mozilla/5.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-05 06:23:50,2012-04-05 06:23:59
5,Mozilla/5.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-06 10:10:30,2012-04-06 10:10:48
6,Mozilla/5.0,Windows,plus.url.google.com,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,2012-04-07 13:57:10,2012-04-07 13:57:20
7,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,unidentified,unidentified,unidentified,unidentified,2012-04-09 21:30:36,unidentified
8,Opera/9.80,Ubuntu,www.facebook.com,www.nasa.gov,unidentified,unidentified,unidentified,unidentified,2012-04-08 17:43:50,2012-04-08 17:44:02
9,Mozilla/5.0,Windows,t.co,apod.nasa.gov,unidentified,unidentified,unidentified,unidentified,2012-04-09 21:30:30,2012-04-09 21:30:40
10,Mozilla/5.0,Windows,direct,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,2012-04-11 01:17:10,2012-04-11 01:17:20
11,Mozilla/5.0,Macintosh,t.co,oversight.house.gov,Washington,38.937599,-77.092796,America/New_York,2012-04-12 05:04:00,2012-04-12 05:04:03
