,web_browser,operating_sys,from_url,to_url,city,longitude,latitude,time_zone,time_in,time_out
0,Mozilla/5.0,Windows,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,42.576698,-70.954903,America/New_York,1333307030,1333307037
1,unidentified,unidentified,www.AwareMap.com,www.monroecounty.gov,Provo,40.218102,-111.613297,America/Denver,1331923249,1308262393
2,Mozilla/4.0,Windows,t.co,boxer.senate.gov,Washington,38.9007,-77.043098,America/New_York,1333407030,1333407035
3,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,Braz,-23.549999,-46.616699,America/Sao_Paulo,1333507030,1333507044
4,Mozilla/5.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1333607030,1333607039
5,Mozilla/5.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1333707030,1333707048
6,Mozilla/5.0,Windows,plus.url.google.com,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,1333807030,1333807040
7,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,unidentified,unidentified,unidentified,unidentified,1334007036,13340070364
8,Opera/9.80,Ubuntu,www.facebook.com,www.nasa.gov,unidentified,unidentified,unidentified,unidentified,1333907030,1333907042
9,Mozilla/5.0,Windows,t.co,apod.nasa.gov,unidentified,unidentified,unidentified,unidentified,1334007030,1334007040
10,Mozilla/5.0,Windows,direct,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,1334107030,1334107040
11,Mozilla/5.0,Macintosh,t.co,oversight.house.gov,Washington,38.937599,-77.092796,America/New_York,1334207040,1334207043
